Id,Name,MoveType,MoveFamily,NumberOfBeats,DifficultyLevel,Link to Video,Lead connection,follower connection,Source event / lesson / workshop,Link to Notes,,Link to Practice Video
1,uphold basic,Move,Basic,8,1,,,,,,,
2,downhold basic,Move,Basic,8,1,,,,,,,
3,ad libs,Move,Basic,2,1,,,,,,,
4,paddles,Move,Basic,2,1,,,,,,,
5,progressives,Move,Basic,2,1,,,,,,,
6,serpentines,Move,Basic,4,2,,,,,,,
7,drags,Move,Basic,2,2,,,,,,,
8,triple step drags,Move,Basic,2,2,,,,,,,
9,lollies,Move,Lollie,4,1,,,,,,,
10,lollies with outside turn,Move,Lollie,4,2,,,,,,,
11,come around,Move,Basic,8,1,,,,,,,
12,toss out,Move,TossOut,8,1,,,,,,,
13,reverse toss out,Move,TossOut,8,2,,,,,,,
14,behind the back toss out,Move,TossOut,8,2,,,,,,,
15,off hand toss out,Move,TossOut,8,3,,,,,,,
16,handshake toss out,Move,TossOut,8,3,,,,,,,
17,double hand toss out,Move,TossOut,8,3,,,,,,,
18,texas tommy,Modifier,FancyMove,8,3,,,,,,,
19,maxi slide,Move,FancyMove,12,3,https://youtu.be/kQOcTXFN8xU?t=132,,,,,,
20,hal's roll,Move,FancyMove,,3,,,,,,,
21,texas tommy lollies,Modifier,Lollie,4,2,,,,,,,
22,elbow catch,Modifier,Redirect,,2,,,,,,,
23,sailor shuffles,Move,OutAndIn,4,2,,,,,,,
24,out and in,Move,OutAndIn,4,1,,,,,,,
25,out and in rotational,Move,OutAndIn,4,2,,,,,,,
26,out and in down the line,Move,OutAndIn,4,2,,,,,,,
27,out and in stop,Move,OutAndIn,,2,,,,,,,
28,out and in stop bring back in,Move,OutAndIn,,2,,,,,,,
29,out and in stop follow turn,Move,OutAndIn,,3,,,,,,,
30,out and in stop follow turn and lead turn,Move,OutAndIn,,3,,,,,,,
31,out and in stop follow lead slide,Move,OutAndIn,,3,,,,,,,
32,out and in stop follow lead pivot down line,Move,OutAndIn,,3,,,,,,,
33,out and in stop follow lead triple step pivot redirect follow,Move,OutAndIn,,4,,,,,,,
34,out and in stop with down up,Move,OutAndIn,,3,,,,,,,
35,pivots,Move,Pivot,,3,,,,,,,
36,back pivots,Move,Pivot,,3,,,,,,,
37,back pivot exit with BTB tossout,Move,Pivot,,4,,,,,,,
38,hangman,Move,Basic,,2,,,,,,,
39,princess walks,Move,Swivel,,2,,,,,,,
40,swivels,Move,Swivel,,1,,,,,,,
41,double time swivels,Move,Swivel,,2,,,,,,,
42,V slide,Accent,Stop,,2,,,,,,,
43,damron,Move,FancyMove,8,3,https://www.youtube.com/watch?v=g98NEA_D65M&feature=youtu.be,,,,,,
44,choo choo,Move,Basic,4,2,,,,,,,
45,beach pushes,Move,FancyMove,4,3,,,,,,,
46,the dream,Move,FancyMove,,3,https://www.youtube.com/watch?v=JTK558EYYi4,,,,,,
47,the carousel,Move,FancyMove,8,5,https://youtu.be/ehVZktW0BK4?t=116,,,,,,
48,crab walks,Move,Basic,4,1,,,,,,,
49,Willie's Circle Slide,Modifier,FancyMove,,3,https://www.youtube.com/watch?v=bMBzJ8BaBr4&list=PL5C760A822320CE8F&index=2,,,,,,
50,Bart's Leg,Modifier,FancyMove,,2,,,,,,,
51,The Helwig,Move,FancyMove,,3,https://youtu.be/4uEbgpvxjfY?t=8,,,,,,
52,Scorpion Kick,Move,FancyMove,4,4,,,,,,,
53,promenade,Move,Basic,4,2,,,,,,,
54,barrel roll,Move,FancyMove,4,3,,,,,,,
55,princess walk inside turn free spin,Modifier,FreeSpin,4,3,,,,,,,
56,poison hand throwout,Move,TossOut,8,3,,,,,,,
57,the Montreal,Move,FancyMove,16,3,,,,,,,
58,Hal's Drop,Move,FancyMove,4,5,https://youtu.be/ebw84iWPDz8?t=248,,,,,,
59,kick variation,Modifier,Basic,2,2,,,,,,,
60,tap variation,Modifier,Basic,2,2,,,,,,,
61,double tap variation,Modifier,Basic,2,2,,,,,,,
62,up down hitch,Modifier,TossOut,4,3,,,,,,,
63,kick cross,Modifier,Basic,2,1,,,,,,,
64,pop turn,Move,Redirect,2,3,,,,,,,
65,Connected toss out with downward hand toss,Move,TossOut,4,3,,,,,,,
66,lead turn (CCW),Modifier,Redirect,2,2,,,,,,,
67,lead turn (CW),Modifier,Redirect,2,2,,,,,,,
68,Betty Drop,Move,FancyMove,4,5,https://youtu.be/ebw84iWPDz8?t=244,,,,,,
69,Maxie's Mess Around,Move,FancyMove,8,3,https://youtu.be/P2OL1SVbcvg?t=106,,,,,,
70,recurring dream,Move,FancyMove,8,3,,,,,,,
71,nightmare,Move,FancyMove,8,4,,,,,,,
72,recurring nightmare,Move,FancyMove,8,4,,,,,,,
73,faux pop turn,Move,FancyMove,4,4,ABW 2014 - Adv track - David Rehm,,,,,,
